label,annotator_id,target,text,Race,Country,Religion,Gender
2,204,"['Hindu', 'Islam']","['u', 'really', 'think', 'i', 'would', 'not', 'have', 'been', 'raped', 'by', 'feral', 'hindu', 'or', 'muslim', 'back', 'in', 'india', 'or', 'bangladesh', 'and', 'a', 'neo', 'nazi', 'would', 'rape', 'me', 'as', 'well', 'just', 'to', 'see', 'me', 'cry']",Hispanic,USA,Other,Female
2,222,"['Hindu', 'Other']","['if', 'english', 'is', 'not', 'imposition', 'then', 'hindi', 'is', 'also', 'not', 'imposition', 'shut', 'up', 'chutiya', 'retards', 'stophindiimposition']",Caucasian,Canada,Nonreligious,Female
2,209,['Hindu'],"['no', 'liberal', 'congratulated', 'hindu', 'refugees', 'post', 'cab', 'because', 'they', 'hate', 'hindus']",Indian,India,Hindu,Male
2,25,['Economic'],"['he', 'said', 'bro', 'even', 'your', 'texts', 'sound', 'redneck', 'whatever', 'the', 'fuck', 'that', 'means', '😂', '🤷', '🏻', '\u200d', '♂️', '<user>']",Caucasian,Brazil,Nonreligious,Female
1,202,"['Hispanic', 'Refugee']","['i', 'live', 'and', 'work', 'with', 'many', 'legal', 'mexican', 'immigrants', 'who', 'are', 'great', 'citizens', 'and', 'trump', 'supporters', 'they', 'have', 'no', 'problem', 'with', 'deporting', 'illegals', 'maga']",Hispanic,Italy,Nonreligious,Male
1,204,"['Arab', 'Hindu', 'Islam']","['<user>', '<user>', 'there', 'shd', 'be', 'a', 'film', 'called', 'no', 'hindus', 'in', 'kashmir', 'wud', 'be', 'perfect', 'islamic', 'fanaticsm', 'movement', 'in', 'kashmir']",Hispanic,USA,Other,Female
1,211,['None'],"['jews', 'defends', 'jews', 'regardless', 'muslims', 'defend', 'muslins', 'regardless', 'christian', 'european', 'attack', 'christians', 'christian', 'people', 'are', 'on', 'their', 'own', 'and', 'jews', 'and', 'muslims', 'have', 'another', 'home', 'we', 'don', 'ffs', 'we', 'do', 'not', 'why', 'can', 'not', 'people', 'understand', 'that', 'it', 'not', 'that', 'difficult']",Caucasian,USA,Christian,Female
0,228,['Refugee'],"['the', 'non', 'partisan', 'congressional', 'budget', 'office', 'cbo', 'has', 'released', 'their', 'report', 'on', 'sens', 'lindsey', 'graham', 'and', 'dick', 'durbin', '<number>', 'the', 'dream', 'act', 'the', 'report', 'shows', 'that', 'their', 'legislation', 'would', 'add', '<number>', 'billion', 'to', 'the', 'deficit', 'over', 'a', 'ten', 'year', 'period', 'and', 'lots', 'more', 'immigrant', 'scum']",African,USA,Christian,Male
1,211,['None'],"['got', 'a', 'couple', 'more', 'companies', 'you', 'can', 'boycott', 'this', 'christmas', 'season', 'first', 'one', 'is', 'ford', 'they', 'have', 'got', 'several', '<number>', 'ads', 'out', 'featuring', 'blip', 'length', 'shots', 'of', 'white', 'men', 'w', 'other', 'than', 'white', 'women', 'this', 'is', 'becoming', 'the', 'norm', 'too', 'you', 'defile', 'the', 'white', 'man', 'that', 'will', 'drive', 'our', 'women', 'into', 'their', 'hands', 'wn']",Caucasian,USA,Christian,Female
1,204,['Caucasian'],"['people', 'are', 'going', 'to', 'blame', 'the', 'white', 'nationalists', 'for', 'what', 'happened', 'but', 'they', 'were', 'initially', 'peaceful', 'before', 'antifa', 'showed', 'up', 'what', 'happened', 'yesterday', 'is', 'the', 'result', 'of', 'political', 'correctness', 'and', 'the', 'left', 'legitimising', 'political', 'violence', 'that', 'why', 'the', 'establishment', 'leftists', 'do', 'not', 'condemn', 'antifa', '<number>', '<number>']",Hispanic,USA,Other,Female
1,199,['Caucasian'],"['you', 'are', 'completely', 'correct', 'without', 'it', 'communication', 'breaks', 'down', 'leading', 'to', 'distortions', 'misrepresentations', 'this', 'is', 'a', 'very', 'serious', 'problem', 'among', 'white', 'males', 'who', 'failed', 'to', 'learn', 'the', 'language', 'effectively']",Caucasian,USA,Nonreligious,Female
1,233,['Caucasian'],"['caucasians', 'wearing', 'masks', 'to', 'prevent', 'coronavirus', 'and', 'still', 'don', '’', 't', 'wash', 'their', 'hands']",Caucasian,USA,Nonreligious,Male
0,223,['Refugee'],"['<user>', '<number>', 'americans', 'dead', 'because', 'of', 'an', 'illegal', 'immigrant', 'this', 'is', 'infuriating', 'enforce', 'our', 'laws', 'deport', 'them']",Other,Spain,Nonreligious,Male
1,18,['None'],"['<user>', 'besudes', 'guilt', 'saviour', 'complex', 'among', 'whites', 'has', 'reached', 'such', 'an', 'alarming', 'level', 'that', 'they', 'want', 'to', 'save', 'indian', 'girls', 'from', 'being', 'raped', 'when', 'the', 'rate', 'of', 'sexual', 'assault', 'in', 'their', 'own', 'countries', 'is', 'significantly', 'higher']",Hispanic,Brazil,Other,Prefer not to disclose
